"X","site","block","plot","position_x","position_y","species","sp","mother","micro_topography","light","sand","time","height","diameter","survival","flood"
146,"A1","B","High",80,40,"Shorea pauciflora","Spau","Spau1",116.026666666667,26,43.363,0,NA,NA,1,NA
147,"A1","B","High",80,80,"Shorea falciferoides","Sfal","Sfal1",114.026666666667,26,43.363,0,NA,NA,1,NA
148,"A1","B","High",80,120,"Shorea waltonii","Swal","Swal1",118.026666666667,26,43.363,0,NA,NA,1,NA
149,"A1","B","High",80,160,"Shorea parvifolia","Spar","9PSpar2",117.826666666667,26,43.363,0,NA,NA,1,NA
150,"A1","B","High",80,200,"Shorea xanthophylla","Sxan","Sxan2OUa",118.026666666667,26,43.363,0,NA,NA,1,NA
151,"A1","B","High",80,240,"Dryobalanops lanceolata","Dry","Dry1",117.026666666667,26,43.363,0,NA,NA,1,NA
152,"A1","B","High",80,280,"Shorea parvifolia","Spar","9QSpar10",117.826666666667,26,43.363,0,NA,NA,1,NA
153,"A1","B","High",120,0,"Shorea beccariana","Sbec","Sbec1",114.026666666667,26,43.363,0,NA,NA,1,NA
154,"A1","B","High",120,40,"Parashorea tomentella","Ptom","9IPtom5m",117.826666666667,26,43.363,0,NA,NA,1,NA
155,"A1","B","High",120,80,"Parashorea tomentella","Ptom","Ptom3RCDm",115.026666666667,26,43.363,0,NA,NA,1,NA
156,"A1","B","High",120,120,"Shorea mecistopteryx","Smec","Smec1",117.026666666667,26,43.363,0,NA,NA,1,NA
157,"A1","B","High",120,160,"Shorea beccariana","Sbec","Sbec1",116.026666666667,26,43.363,0,NA,NA,1,NA
158,"A1","B","High",120,200,"Parashorea malaanonan","Pmal","9JPmal1a",115.426666666667,26,43.363,0,NA,NA,1,NA
159,"A1","B","High",120,240,"Shorea waltonii","Swal","Swal1",116.026666666667,26,43.363,0,NA,NA,1,NA
160,"A1","B","High",120,280,"Shorea falciferoides","Sfal","Sfal1",114.526666666667,26,43.363,0,NA,NA,1,NA
161,"A1","B","High",160,0,"Shorea acuminatissima","Sacu","9OSacu3",120.026666666667,26,43.363,0,NA,NA,1,NA
162,"A1","B","High",160,40,"Shorea parvifolia","Spar","Spar1RDC",120.026666666667,26,43.363,0,NA,NA,1,NA
163,"A1","B","High",160,80,"Shorea xanthophylla","Sxan","8MSxan9m",119.526666666667,26,43.363,0,NA,NA,1,NA
164,"A1","B","High",160,120,"Shorea macroptera","Smac","Smac1",118.326666666667,26,43.363,0,NA,NA,1,NA
165,"A1","B","High",160,160,"Dryobalanops lanceolata","Dry","Dry1",117.526666666667,26,43.363,0,NA,NA,1,NA
166,"A1","B","High",160,200,"Shorea gibbosa","Sgib","Sgib1",117.026666666667,26,43.363,0,NA,NA,1,NA
167,"A1","B","High",160,240,"Dryobalanops lanceolata","Dry","Dry1",117.026666666667,26,43.363,0,NA,NA,1,NA
168,"A1","B","High",160,280,"Shorea gibbosa","Sgib","Sgib1",121.026666666667,26,43.363,0,NA,NA,1,NA
169,"A1","B","High",200,0,"Shorea pauciflora","Spau","Spau1",121.026666666667,26,43.363,0,NA,NA,1,NA
170,"A1","B","High",200,40,"Shorea xanthophylla","Sxan","8LSxan10m",121.026666666667,26,43.363,0,NA,NA,1,NA
171,"A1","B","High",200,80,"Shorea pauciflora","Spau","Spau1",120.226666666667,26,43.363,0,NA,NA,1,NA
172,"A1","B","High",200,120,"Shorea mecistopteryx","Smec","Smec1",121.026666666667,26,43.363,0,NA,NA,1,NA
173,"A1","B","High",200,160,"Shorea macroptera","Smac","Smac1",121.326666666667,26,43.363,0,NA,NA,1,NA
174,"A1","B","High",200,200,"Shorea beccariana","Sbec","Sbec1",125.026666666667,26,43.363,0,NA,NA,1,NA
175,"A1","B","High",200,240,"Shorea smithiana","Ssmi","Ssmi3a",126.026666666667,26,43.363,0,NA,NA,1,NA
176,"A1","B","High",200,280,"Parashorea malaanonan","Pmal","9LPmal7m",122.526666666667,26,43.363,0,NA,NA,1,NA
177,"A1","B","High",240,0,"Shorea beccariana","Sbec","Sbec1",123.526666666667,26,43.363,0,NA,NA,1,NA
178,"A1","B","High",240,40,"Shorea waltonii","Swal","Swal1",123.526666666667,26,43.363,0,NA,NA,1,NA
179,"A1","B","High",240,80,"Shorea leprosula","Slep","12HSlep8a",124.026666666667,26,43.363,0,NA,NA,1,NA
180,"A1","B","High",240,120,"Shorea pauciflora","Spau","Spau1",129.026666666667,26,43.363,0,NA,NA,1,NA
181,"A1","B","High",240,160,"Shorea acuminatissima","Sacu","8MSacu2",121.126666666667,26,43.363,0,NA,NA,1,NA
182,"A1","B","High",240,200,"Shorea smithiana","Ssmi","Ssmi2m",123.326666666667,26,43.363,0,NA,NA,1,NA
183,"A1","B","High",240,240,"Shorea smithiana","Ssmi","9HSsmi4m",125.126666666667,26,43.363,0,NA,NA,1,NA
184,"A1","B","High",240,280,"Parashorea malaanonan","Pmal","8MPmal8m",123.826666666667,26,43.363,0,NA,NA,1,NA
185,"A1","B","High",280,0,"Shorea smithiana","Ssmi","Ssmi5a",123.526666666667,26,43.363,0,NA,NA,1,NA
186,"A1","B","High",280,40,"Shorea leprosula","Slep","8PSlep4m",123.526666666667,26,43.363,0,NA,NA,1,NA
187,"A1","B","High",280,80,"Shorea falciferoides","Sfal","Sfal1",119.526666666667,26,43.363,0,NA,NA,1,NA
188,"A1","B","High",280,120,"Parashorea malaanonan","Pmal","9LPmal9a",119.226666666667,26,43.363,0,NA,NA,1,NA
189,"A1","B","High",280,160,"Dryobalanops lanceolata","Dry","Dry1",120.026666666667,26,43.363,0,NA,NA,1,NA
190,"A1","B","High",280,200,"Shorea gibbosa","Sgib","Sgib1",122.326666666667,26,43.363,0,NA,NA,1,NA
191,"A1","B","High",280,240,"Shorea macroptera","Smac","Smac1",124.026666666667,26,43.363,0,NA,NA,1,NA
192,"A1","B","High",280,280,"Shorea falciferoides","Sfal","Sfal1",126.026666666667,26,43.363,0,NA,NA,1,NA
193,"A1","B","Low",0,0,"Shorea gibbosa","Sgib","Sgib1",22.7266666666667,23,49.024,0,NA,NA,1,NA
194,"A1","B","Low",0,40,"Shorea gibbosa","Sgib","Sgib1",21.7266666666667,23,49.024,0,NA,NA,1,NA
195,"A1","B","Low",0,80,"Shorea acuminatissima","Sacu","9OSacu3",22.7266666666667,23,49.024,0,NA,NA,1,NA
196,"A1","B","Low",0,120,"Shorea smithiana","Ssmi","Ssmi2m",18.3266666666667,23,49.024,0,NA,NA,1,NA
197,"A1","B","Low",0,160,"Shorea acuminatissima","Sacu","8MSacu2",15.7266666666667,23,49.024,0,NA,NA,1,NA
198,"A1","B","Low",0,200,"Shorea mecistopteryx","Smec","Smec1",16.7266666666667,23,49.024,0,NA,NA,1,NA
199,"A1","B","Low",0,240,"Parashorea malaanonan","Pmal","AllPmal1a",17.2266666666667,23,49.024,0,NA,NA,1,NA
