"","ID","longitude","latitude","species","sp","mlim","DBH","life_strategy","elevation","species_wood_density"
"135","10KDcau4",604966.4719,647592.5861,"Dipterocarpus caudiferus","Dcau",40,92,"Subcanopy",73.235,0.632142857142857
"136","10KDcau5",604918.4845,647601.7181,"Dipterocarpus caudiferus","Dcau",40,80,"Subcanopy",67.62901,0.632142857142857
"137","10KDcau6",604901.9212,647575.8936,"Dipterocarpus caudiferus","Dcau",40,68,"Subcanopy",74.273,0.632142857142857
"138","10KDcau7",604822.5454,647592.3431,"Dipterocarpus caudiferus","Dcau",40,80,"Subcanopy",67.505,0.632142857142857
"139","10NDcau1",605378.1735,647466.1424,"Dipterocarpus caudiferus","Dcau",40,57.6,"Subcanopy",64.05901,0.632142857142857
"140","10NDcau2",605413.0082,647600.7124,"Dipterocarpus caudiferus","Dcau",40,87.5,"Subcanopy",64.04401,0.632142857142857
"141","10ODcau1",605593.9388,647540.2132,"Dipterocarpus caudiferus","Dcau",40,76,"Subcanopy",69.16,0.632142857142857
"142","10ODcau2",605568.1564,647512.5301,"Dipterocarpus caudiferus","Dcau",40,44.8,"Subcanopy",80.194,0.632142857142857
"143","10ODcau3",605579.2872,647477.5394,"Dipterocarpus caudiferus","Dcau",40,63,"Subcanopy",68.78001,0.632142857142857
"144","10ODcau4",605673.387,647481.3845,"Dipterocarpus caudiferus","Dcau",40,40,"Subcanopy",58.799,0.632142857142857
"145","10ODcau5",605674.9836,647623.2687,"Dipterocarpus caudiferus","Dcau",40,95,"Subcanopy",66.208,0.632142857142857
"146","10PDcau1",605845.1223,647619.8731,"Dipterocarpus caudiferus","Dcau",40,46.9,"Subcanopy",62.263,0.632142857142857
"147","10PDcau2",605838.4871,647615.4395,"Dipterocarpus caudiferus","Dcau",40,49.8,"Subcanopy",62.053,0.632142857142857
"148","10PDcau3",605821.8707,647620.9391,"Dipterocarpus caudiferus","Dcau",40,74,"Subcanopy",59.063,0.632142857142857
"149","10PDcau4",605849.5904,647596.6637,"Dipterocarpus caudiferus","Dcau",40,44.2,"Subcanopy",63.206,0.632142857142857
"150","10PDcau5",605782.1854,647520.2646,"Dipterocarpus caudiferus","Dcau",40,53.5,"Subcanopy",61.757,0.632142857142857
"151","10PDcau6",605826.512,647496.0175,"Dipterocarpus caudiferus","Dcau",40,100,"Subcanopy",59.942,0.632142857142857
"152","10QDcau1",606025.8684,647453.7313,"Dipterocarpus caudiferus","Dcau",40,95,"Subcanopy",63.42,0.632142857142857
"153","10QDcau2",606031.7096,647638.0032,"Dipterocarpus caudiferus","Dcau",40,56.5,"Subcanopy",59.953,0.632142857142857
"154","10QDcau3",606013.4791,647505.9178,"Dipterocarpus caudiferus","Dcau",40,48.7,"Subcanopy",61.825,0.632142857142857
"155","11HDCAU",604371.0235,647263.5983,"Dipterocarpus caudiferus","Dcau",40,76.5,"Subcanopy",72.01601,0.632142857142857
"156","11IDCAU1",604448.501,647276.6267,"Dipterocarpus caudiferus","Dcau",40,89,"Subcanopy",68.937,0.632142857142857
"157","11IDCAU10",604546.1483,647363.3936,"Dipterocarpus caudiferus","Dcau",40,72,"Subcanopy",68.065,0.632142857142857
"158","11IDCAU11",604544.3259,647354.1775,"Dipterocarpus caudiferus","Dcau",40,100,"Subcanopy",69.096,0.632142857142857
"159","11IDCAU12",604571.9112,647409.5023,"Dipterocarpus caudiferus","Dcau",40,42.5,"Subcanopy",68.611,0.632142857142857
"160","11IDCAU13",604555.3135,647403.9465,"Dipterocarpus caudiferus","Dcau",40,116.4,"Subcanopy",68.771,0.632142857142857
"161","11IDCAU14",604518.3306,647446.2643,"Dipterocarpus caudiferus","Dcau",40,62.2,"Subcanopy",68.843,0.632142857142857
"162","11IDCAU15",604525.8577,647361.5168,"Dipterocarpus caudiferus","Dcau",40,160,"Subcanopy",68.58,0.632142857142857
