species,sp,mother,block,position,treatment,initial_diameter,final_wood_density
Parashorea malaanonan,Pmal,Pmal_1_RDC,B,140,3,3.17,0.571012685
Shorea leprosula,Slep,12H_Slep_8,B,141,9,4.05,0.363943054
Shorea parvifolia,Spar,9Q_Spar_10,B,142,18,3.99,0.511016347
Parashorea tomentella,Ptom,9I_Ptom_5,B,143,18,3.91,0.633999366
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,B,144,12,4.99,0.409614989
Parashorea tomentella,Ptom,Pt_m_1,B,145,12,3.99,
Parashorea tomentella,Ptom,Ptom_3,B,146,0,3.25,
Shorea seminis,Ssem,SS,B,147,15,3.94,0.692248212
Dryobalanops lanceolata,Dry,DL_Tawau,B,148,12,5.95,0.5332487
Shorea leprosula,Slep,12H_Slep_8,B,149,0,4.69,0.290936635
Shorea seminis,Ssem,Ssem_ou,B,150,3,2.94,0.693576557
Shorea johorensis,Sjoh,SJ_m_10,B,151,21,3.34,0.579662767
Dryobalanops lanceolata,Dry,DL_Tawau,B,152,21,4.95,0.579662767
Shorea parvifolia,Spar,SP_m_5,B,153,0,3.6,0.387035739
Shorea leprosula,Slep,Slep_1,B,154,3,5.32,0.461820124
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,B,155,6,5.79,0.464956077
Shorea smithiana,Ssmi,Ssmi_Tawau,B,156,3,5.32,0.434985423
Shorea seminis,Ssem,SS,B,157,21,4.03,0.658431019
Shorea leprosula,Slep,SL_m_72,B,158,6,5.11,
Shorea beccariana,Sbec,Sbec_Sfr,B,159,9,4.29,0.533075007
Shorea xanthophylla,Sxan,9K_Sxan_29,B,160,15,2.62,0.652604549
Dryobalanops lanceolata,Dry,Dl_m_4,C,1,0,5.52,0.501804052
Dryobalanops lanceolata,Dry,DL_Tawau,C,2,3,4.69,0.484024797
Parashorea malaanonan,Pmal,Pmal_1_RDC,C,3,6,3.2,0.60980674
Shorea smithiana,Ssmi,Ssmi_5,C,4,12,5.19,0.51473499
Parashorea tomentella,Ptom,Pt_m_4,C,5,21,4.28,
Shorea beccariana,Sbec,Sbec_Sfr,C,6,12,3.03,
Shorea xanthophylla,Sxan,ou_sxan_2,C,7,6,3.71,
Shorea parvifolia,Spar,9P_Spar_2,C,8,12,2.49,0.390973694
Shorea johorensis,Sjoh,8K_SJoh_8,C,9,3,3.36,
Parashorea tomentella,Ptom,Pt_m_1,C,10,12,4.09,
Shorea smithiana,Ssmi,Ssmi_Tawau,C,11,9,4.69,0.359050445
Shorea parvifolia,Spar,SP_m_5,C,12,0,3.31,0.407778007
Shorea smithiana,Ssmi,Ssmi_4,C,13,21,5.4,0.452487648
Shorea leprosula,Slep,12I_Slep_3,C,14,6,4.25,0.372507244
Parashorea tomentella,Ptom,Ptom_4,C,15,21,4.36,
Shorea parvifolia,Spar,Sp_m_3,C,16,9,3.34,0.536794475
Shorea smithiana,Ssmi,9H_Ssmi_4,C,17,3,4.36,0.440683761
Parashorea tomentella,Ptom,Ptom_4,C,18,15,4.17,
Shorea parvifolia,Spar,Spar_1,C,19,18,3.56,
Shorea xanthophylla,Sxan,11H_Sxan_1,C,20,15,4.31,
Shorea xanthophylla,Sxan,8m_Sxan_3,C,21,12,4.69,
Dryobalanops lanceolata,Dry,DL_Tawau,C,22,12,4.35,0.508078843
Dryobalanops lanceolata,Dry,DL_m_3,C,23,6,4.37,0.600027902
Shorea smithiana,Ssmi,Ssmi_m_2,C,24,0,3.65,0.431592738
Shorea leprosula,Slep,8Pslep_2,C,25,3,4.87,0.338364984
Dryobalanops lanceolata,Dry,DL_Tawau,C,26,18,5.33,0.514607206
Shorea beccariana,Sbec,Sbec_Sfr,C,27,21,4.08,0.502724252
Shorea johorensis,Sjoh,8K_SJoh_8,C,28,0,3.22,0.5
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,C,29,15,4.88,0.510779661
Shorea beccariana,Sbec,Sbec_Sfr,C,30,0,3.94,0.472011688
Shorea parvifolia,Spar,SP_m_5,C,31,9,3.84,0.50381513
Shorea smithiana,Ssmi,Ssmi_5,C,32,15,4.18,0.512656925
Shorea smithiana,Ssmi,Ssmi_Tawau,C,33,6,5.19,0.437639854
Shorea johorensis,Sjoh,SJ_m_10,C,34,12,4.39,
Shorea leprosula,Slep,Slep_m_122,C,35,15,4.15,0.375014327
Shorea leprosula,Slep,9P_Slep_2,C,36,18,2.95,
Dryobalanops lanceolata,Dry,DL_m_7,C,37,15,4.78,0.644169868
Shorea seminis,Ssem,SS,C,38,18,3.35,0.622491834
Shorea seminis,Ssem,SS,C,39,0,3.74,0.575236731
Shorea johorensis,Sjoh,S.Joh_m_7,C,40,15,4.36,0.48540146
Shorea leprosula,Slep,SL_m_114,C,41,21,4.48,0.47021003
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,C,42,9,4.54,0.547645886
Parashorea tomentella,Ptom,9J_Ptom_14,C,43,6,2.8,0.507600596
Shorea seminis,Ssem,SS,C,44,3,3.55,0.616242225
